"Metric","Logistic_Regression","Classification_Tree"
"Accuracy",0.784375,0.74375
"Precision",0.798780487804878,0.760736196319018
"Recall",0.784431137724551,0.74251497005988
"F1-Score",0.791540785498489,0.751515151515151
"AUC",0.835896833783413,0.796328910805839
