"Feature","Importance","Importance_Pct"
"alcohol",127.041649415967,31.7071725935836
"density",57.9054223552831,14.4520889736855
"sulphates",47.6503754235916,11.8926248568919
"total.sulfur.dioxide",46.993886572099,11.7287777609534
"volatile.acidity",37.8820503223403,9.4546372255956
"chlorides",29.5289206201319,7.36985537348572
"citric.acid",29.4450455499041,7.34892175572936
"free.sulfur.dioxide",9.83318914878027,2.45417646038957
"residual.sugar",6.38375130681277,1.59326256711988
"fixed.acidity",6.02078795180048,1.50267383660963
"pH",1.9865644481204,0.495808595955732
