"Model","Train_Accuracy","Test_Accuracy","Precision","Recall","F1_Score","AUC"
"Random Forest",1,0.8119,0.8171,0.8363,0.8266,0.8904
"Gradient Boosting",0.8586,0.7774,0.7941,0.7895,0.7918,0.8431
